iter	Passed	Remaining
0	179	178968
1	181	90508
2	183	61071
3	185	46239
4	189	37807
5	192	31851
6	193	27500
7	195	24204
8	197	21721
9	198	19640
10	199	17963
11	200	16546
12	202	15356
13	203	14348
14	205	13476
15	206	12702
16	207	12022
17	209	11408
18	210	10881
19	211	10387
20	213	9939
21	214	9533
22	215	9163
23	217	8833
24	218	8534
25	220	8242
26	221	7970
27	222	7716
28	223	7479
29	224	7268
30	225	7061
31	226	6866
32	228	6686
33	229	6513
34	230	6354
35	231	6208
36	233	6077
37	234	5938
38	235	5806
39	236	5679
40	237	5564
41	239	5453
42	240	5346
43	241	5244
44	242	5147
45	243	5050
46	244	4956
47	245	4869
48	247	4794
49	248	4716
50	249	4640
51	250	4572
52	252	4507
53	253	4439
54	254	4373
55	255	4311
56	256	4251
57	258	4191
58	259	4139
59	260	4087
60	262	4035
61	263	3983
62	266	3960
63	267	3912
64	268	3865
65	269	3818
66	270	3773
67	272	3736
68	273	3693
69	274	3648
70	275	3606
71	276	3566
72	277	3527
73	279	3491
74	280	3454
75	281	3418
76	282	3382
77	283	3348
78	284	3314
79	285	3284
80	287	3257
81	288	3228
82	288	3192
83	290	3164
84	291	3134
85	292	3106
86	294	3087
87	295	3065
88	297	3040
89	299	3030
90	301	3007
91	302	2986
92	303	2962
93	304	2939
94	306	2916
95	307	2892
96	308	2870
97	309	2851
98	314	2862
99	316	2847
100	317	2828
101	319	2810
102	320	2792
103	321	2773
104	323	2756
105	324	2737
106	325	2719
107	327	2702
108	329	2689
109	331	2683
110	333	2668
111	334	2653
112	335	2636
113	337	2621
114	338	2607
115	340	2592
116	341	2575
117	343	2565
118	345	2559
119	347	2545
120	348	2530
121	349	2513
122	350	2498
123	351	2483
124	352	2469
125	354	2456
126	355	2442
127	357	2433
128	359	2426
129	360	2413
130	361	2398
131	362	2384
132	363	2371
133	365	2358
134	366	2345
135	367	2333
136	368	2320
137	369	2307
138	370	2295
139	371	2284
140	373	2276
141	374	2262
142	375	2251
143	376	2240
144	378	2229
145	379	2217
146	380	2207
147	381	2196
148	382	2185
149	383	2174
150	384	2163
151	387	2159
152	388	2151
153	390	2143
154	391	2133
155	392	2123
156	393	2113
157	394	2103
158	395	2092
159	396	2083
160	397	2071
161	398	2061
162	399	2052
163	402	2049
164	403	2044
165	405	2036
166	406	2027
167	407	2019
168	409	2011
169	410	2005
170	411	1996
171	412	1986
172	413	1977
173	414	1967
174	415	1958
175	416	1950
176	417	1942
177	418	1933
178	419	1925
179	421	1919
180	423	1915
181	424	1909
182	425	1901
183	427	1894
184	428	1886
185	429	1878
186	430	1870
187	431	1862
188	432	1854
189	433	1846
190	435	1844
191	436	1838
192	438	1832
193	439	1824
194	440	1816
195	440	1808
196	441	1801
197	442	1794
198	443	1786
199	444	1779
200	445	1772
201	446	1765
202	447	1758
203	449	1753
204	450	1747
205	451	1742
206	453	1735
207	454	1729
208	455	1722
209	456	1716
210	457	1709
211	458	1703
212	459	1696
213	460	1690
214	461	1683
215	462	1677
216	463	1671
217	464	1664
218	465	1659
219	466	1654
220	467	1648
221	468	1642
222	469	1636
223	470	1630
224	471	1624
225	472	1618
226	473	1612
227	474	1606
228	475	1600
229	476	1594
230	477	1588
231	478	1584
232	479	1579
233	481	1575
234	482	1570
235	483	1565
236	484	1559
237	485	1553
238	486	1548
239	487	1542
240	488	1537
241	489	1531
242	489	1526
243	490	1520
244	492	1517
245	493	1513
246	495	1511
247	497	1509
248	499	1505
249	500	1500
250	501	1495
251	502	1491
252	503	1486
253	504	1482
254	506	1478
255	507	1474
256	508	1470
257	510	1466
258	511	1463
259	512	1458
260	513	1453
261	514	1449
262	515	1444
263	516	1440
264	517	1435
265	518	1430
266	519	1425
267	520	1421
268	521	1417
269	523	1414
270	523	1409
271	525	1405
272	526	1400
273	527	1396
274	528	1392
275	529	1388
276	530	1384
277	531	1380
278	532	1376
279	534	1373
280	535	1369
281	536	1365
282	537	1362
283	538	1358
284	540	1354
285	541	1351
286	542	1347
287	543	1343
288	544	1339
289	546	1336
290	547	1333
291	548	1329
292	549	1326
293	551	1323
294	552	1320
295	553	1316
296	554	1312
297	556	1309
298	557	1306
299	558	1303
300	559	1300
301	561	1296
302	562	1292
303	563	1289
304	564	1285
305	565	1281
306	566	1278
307	567	1275
308	568	1271
309	569	1268
310	571	1265
311	572	1262
312	573	1259
313	575	1256
314	576	1253
315	577	1249
316	578	1245
317	579	1242
318	580	1240
319	582	1238
320	583	1234
321	584	1230
322	585	1226
323	586	1223
324	587	1219
325	588	1216
326	589	1212
327	589	1208
328	591	1205
329	591	1201
330	592	1198
331	593	1194
332	594	1190
333	596	1188
334	597	1185
335	598	1182
336	599	1179
337	600	1175
338	601	1172
339	602	1168
340	602	1164
341	603	1161
342	604	1157
343	605	1154
344	606	1150
345	607	1148
346	609	1146
347	610	1143
348	611	1140
349	612	1137
350	613	1134
351	614	1131
352	616	1129
353	617	1126
354	618	1123
355	619	1121
356	620	1118
357	621	1115
358	623	1112
359	624	1110
360	625	1107
361	626	1104
362	627	1101
363	628	1098
364	629	1095
365	631	1093
366	632	1090
367	633	1087
368	634	1084
369	635	1082
370	637	1080
371	640	1082
372	642	1080
373	644	1078
374	645	1075
375	646	1073
376	648	1071
377	649	1068
378	650	1066
379	651	1063
380	653	1061
381	654	1059
382	656	1056
383	657	1054
384	658	1051
385	659	1049
386	660	1046
387	661	1043
388	662	1041
389	664	1039
390	665	1036
391	666	1034
392	668	1033
393	670	1030
394	671	1027
395	672	1025
396	673	1022
397	674	1020
398	675	1017
399	676	1015
400	678	1013
401	679	1010
402	680	1008
403	682	1006
404	684	1004
405	685	1002
406	686	1000
407	687	997
408	688	994
409	689	992
410	690	990
411	693	989
412	694	986
413	695	984
414	696	982
415	698	980
416	699	978
417	701	976
418	702	973
419	703	971
420	704	969
421	706	967
422	707	964
423	708	962
424	709	960
425	710	957
426	712	955
427	713	953
428	714	951
429	715	948
430	716	946
431	717	943
432	719	941
433	720	939
434	721	936
435	722	934
436	723	932
437	724	929
438	725	927
439	727	925
440	728	923
441	729	920
442	730	918
443	731	916
444	732	913
445	733	911
446	735	909
447	736	907
448	737	904
449	738	902
450	739	900
451	740	898
452	741	895
453	743	893
454	744	891
455	745	889
456	746	887
457	748	885
458	749	883
459	750	881
460	752	879
461	753	877
462	754	875
463	755	873
464	757	871
465	759	870
466	760	867
467	763	867
468	764	865
469	765	863
470	767	861
471	768	859
472	769	857
473	770	854
474	771	853
475	773	851
476	774	849
477	775	847
478	776	845
479	778	842
480	779	840
481	780	838
482	781	836
483	782	834
484	783	832
485	786	831
486	788	830
487	790	829
488	791	827
489	793	825
490	794	823
491	795	821
492	796	819
493	797	817
494	798	814
495	799	812
496	801	810
497	804	810
498	805	808
499	806	806
500	807	804
501	808	802
502	809	800
503	810	798
504	812	796
505	813	794
506	814	792
507	815	789
508	817	788
509	818	786
510	820	784
511	821	782
512	822	780
513	823	779
514	825	777
515	826	775
516	827	773
517	828	771
518	829	769
519	832	768
520	833	766
521	834	763
522	835	761
523	836	759
524	837	757
525	838	755
526	839	753
527	840	751
528	841	749
529	842	747
530	843	745
531	844	743
532	848	743
533	849	741
534	851	739
535	853	738
536	855	737
537	856	735
538	858	733
539	859	732
540	861	730
541	862	729
542	864	727
543	867	726
544	868	725
545	869	723
546	871	721
547	872	719
548	875	719
549	881	720
550	884	720
551	886	719
552	889	718
553	892	718
554	894	717
555	895	715
556	896	713
557	897	711
558	898	708
559	899	707
560	901	705
561	902	703
562	904	702
563	908	702
564	910	701
565	911	699
566	913	697
567	914	695
568	916	693
569	918	692
570	922	692
571	923	690
572	924	689
573	925	687
574	928	686
575	930	684
576	932	683
577	933	681
578	936	680
579	938	679
580	939	677
581	941	676
582	944	675
583	945	673
584	946	671
585	948	669
586	949	667
587	951	666
588	952	664
589	953	662
590	954	660
591	955	658
592	957	656
593	958	655
594	959	653
595	960	651
596	961	649
597	963	647
598	966	647
599	968	645
600	969	643
601	971	642
602	972	640
603	973	638
604	975	636
605	976	634
606	977	632
607	978	630
608	979	629
609	981	627
610	982	625
611	983	623
612	984	621
613	985	619
614	987	617
615	988	615
616	989	614
617	990	612
618	991	610
619	992	608
620	994	606
621	995	605
622	997	603
623	998	601
624	999	599
625	1000	597
626	1001	595
627	1002	594
628	1003	592
629	1005	590
630	1006	588
631	1007	586
632	1008	584
633	1010	583
634	1012	581
635	1013	580
636	1015	578
637	1016	576
638	1017	574
639	1018	573
640	1020	571
641	1021	569
642	1022	567
643	1022	565
644	1024	563
645	1025	562
646	1027	560
647	1028	558
